form	lemma	POS	morph
༄༅། །		PUNCT
དྲི་མེད་	དྲི་མེད་	ADJ
སྣང་བ་	སྣང་བ་	VERB
གྲུབ་པ་	གྲུབ་པ་	VERB
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
ཞལ་ལུང་	ཞལ་ལུང་	OTHER
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
གྲུབ་ཐོབ་	གྲུབ་ཐོབ་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ན་	ནས་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
དམ་ཆོས་	དམ་ཆོས་	NOUN
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ཀྱི་	གི་	PART
ལམ་	གམ་	PART
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
དངོ་	དངོ་	NOUN
།		PUNCT
སྙེ་	སྙེ་	NO_POS
མདོ་	མདོ་	NOUN
བསོད་ནམས་	བསོད་ནམས་	NOUN
དཔལ་	དཔལ་	OTHER
"།
༄༅། །"		PUNCT
ཨམ་	ཨམ་	NO_POS
ཀ་པ་	ཀ་པ་	OTHER
ར་	ལ་	PART
ག་	ག་	PRON
མོནཱ་		NON_WORD
ཁཔྲ་		NON_WORD
ཤ་	ཤ་	NOUN
མན་	མན་	OTHER
"། །
༄༅། །"		PUNCT
དྲི་མེད་	དྲི་མེད་	ADJ
སྣང་བ་	སྣང་བ་	VERB
གྲུབ་པ་	གྲུབ་པ་	VERB
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
ཞལ་ལུང་	ཞལ་ལུང་	OTHER
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
གྲུབ་ཐོབ་	གྲུབ་ཐོབ་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ན་	ནས་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
དམ་ཆོས་	དམ་ཆོས་	NOUN
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ཀྱི་	གི་	PART
ལམ་	གམ་	PART
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ཨཱོྃ་		NON_WORD
སྭསྟི་		NON_WORD
སིདྡྷཾ་		NON_WORD
།		PUNCT
བྱ་བ་	བྱ་བ་	VERB
གཞི་	གཞི་	NOUN
ཡི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
རྣམ་དག་	རྣམ་དག་	ADJ
ཚུལ་ཁྲིམས་	ཚུལ་ཁྲིམས་	NOUN
ཕུང་པོ་	ཕུང་པོ་	NOUN
ས་	གིས་	PART
བརྒྱན་པ་	བརྒྱན་པ་	VERB
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
། །		PUNCT
ལམ་	གམ་	PART
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
དོན་	དོན་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
འབེབས་	འབེབས་	VERB
བརྗོད་	བརྗོད་	VERB
བྲལ་	བྲལ་	VERB
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
ནཱ་	ནཱ་	NO_POS
ད་	ད་	ADV
འི་	གི་	PART
གསུང་	གསུང་	VERB
། །		PUNCT
དོན་	དོན་	NOUN
གཉིས་	གཉིས་	NUM
འབྲས་བུ་	འབྲས་བུ་	NOUN
འི་	གི་	PART
ཕ་མཐ་	ཕ་མཐའ་	NO_POS
ར་	ལ་	PART
སོན་པ་	སོན་པ་	VERB
བསམ་	བསམ་	NOUN
གྱིས་	གིས་	PART
མི་	མི་	PART
ཁྱབ་	ཁྱབ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཐུགས་	ཐུགས་	NOUN
། །		PUNCT
མི་ཟད་	མི་ཟད་	NO_POS
ཞི་བ་	ཞི་བ་	VERB
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀུན་	ཀུན་	DET
དངོ་	དངོ་	NOUN
དེ་	དེ་	DET
